id,production_location,production_location2,sale_location,sale_location2,types_of_sampling,food_category,adulterant_category,adulterant,food_specifications_model_list,mandate_level,manufacturer_type,sampled_location_type,grade
4469,浙江省,嘉兴市,浙江省,嘉兴市,Same Place,pastry,Food additive,脱氢乙酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5517,安徽省,合肥市,安徽省,蚌埠市,Off-site,restaurant food,Specification,溶剂残留量,Pre-packaged,Provincially Mandated,manufacturer,eatery,0
4264,江苏省,盐城市,江苏省,盐城市,Same Place,pastry,Food additive,脱氢乙酸,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
2151,广东省,广州市,广东省,广州市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5965,河南省,郑州市,河南省,郑州市,Same Place,condiment,Specification,氨基酸态氮,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
1655,湖北省,武汉市,湖北省,武汉市,Same Place,alcohol,Specification,氰化物,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
2301,辽宁省,盘锦市,辽宁省,盘锦市,Same Place,meat and meat product,Food additive,山梨酸,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,1
1187,四川省,泸州市,四川省,泸州市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
3052,安徽省,马鞍山市,安徽省,马鞍山市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8139,广东省,揭阳市,广东省,广州市,Off-site,fruit and fruit product,Specification,水分;二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,wholesale market,0
190,湖南省,衡阳市,广东省,中山市,Off-site,cereal and cereal product,Environmental contaminant,镉,Pre-packaged,Provincially Mandated,manufacturer,cafeteria,0
8195,湖北省,襄阳市,江西省,上饶市,Off-site,fruit and fruit product,Food additive,乙酰磺胺酸钾;环己基氨基磺酸钠,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
